heart_rate,steps,calories,distance,previous_heart_rate
94,85,0,55,103.0
95,60,0,38,80.0
108,129,4,94,108.0
122,70,1,48,122.0
81,59,1,40,81.0
79,99,2,67,77.0
67,101,2,68,67.0
80,1,0,1,80.0
94,116,2,88,86.0
121,126,2,89,121.0
110,123,2,83,110.0
80,93,1,67,80.0
100,110,1,72,108.0
108,116,2,81,108.0
99,113,1,78,99.0
94,9,0,6,84.0
103,108,2,72,103.0
100,79,2,54,96.0
82,60,1,42,82.0
83,18,0,12,91.0
85,77,0,51,85.0
100,8,1,6,65.0
80,108,2,77,80.0
118,106,2,75,78.0
133,108,1,72,88.0
80,115,2,77,80.0
87,62,0,40,104.0
109,108,1,75,109.0
80,101,1,69,80.0
134,109,1,75,134.0
71,31,0,21,76.0
85,21,0,13,85.0
82,38,1,27,85.0
79,44,0,29,80.0
99,1,0,0,99.0
96,7,0,5,91.0
73,6,1,4,73.0
82,7,1,5,83.0
77,39,0,26,91.0
94,10,1,7,94.0
73,12,0,7,73.0
68,29,1,21,68.0
77,21,0,14,85.0
77,119,2,81,77.0
80,86,0,55,81.0
75,67,0,45,75.0
78,24,0,15,78.0
83,66,0,43,87.0
78,23,0,15,78.0
104,93,2,59,104.0
62,5,1,4,65.0
100,112,2,80,100.0
88,92,1,63,88.0
102,109,2,74,102.0
95,125,3,89,95.0
108,111,2,75,111.0
102,103,1,70,72.0
137,112,1,79,137.0
75,93,1,64,94.0
112,47,1,33,114.0
92,6,1,5,118.0
143,114,2,79,143.0
69,7,1,5,69.0
116,117,2,80,88.0
77,91,2,62,83.0
95,117,1,78,95.0
77,93,2,64,91.0
88,54,1,39,127.0
106,81,1,53,106.0
77,99,1,65,77.0
91,106,1,72,91.0
90,23,1,15,83.0
135,49,1,35,135.0
81,104,2,72,72.0
91,29,0,19,91.0
111,100,3,72,88.0
95,17,0,12,95.0
79,108,2,77,79.0
94,122,1,85,85.0
91,43,0,30,89.0
90,105,2,77,90.0
95,79,4,56,95.0
83,64,1,45,83.0
84,102,1,68,110.0
101,72,1,49,101.0
133,124,3,89,133.0
89,106,1,75,89.0
111,111,2,75,86.0
90,31,0,21,90.0
91,83,1,55,85.0
75,49,0,31,75.0
99,18,0,12,86.0
105,107,0,70,80.0
76,10,0,7,82.0
99,110,1,76,99.0
90,12,0,8,85.0
96,118,2,81,89.0
106,113,2,80,106.0
127,94,1,63,117.0
80,126,2,89,78.0
82,110,1,76,92.0
122,109,2,80,122.0
108,17,1,12,108.0
96,58,1,40,96.0
104,111,1,78,104.0
116,120,1,80,88.0
92,105,1,72,120.0
117,135,4,98,117.0
83,12,0,8,87.0
81,82,1,60,81.0
92,8,0,5,85.0
86,4,0,3,78.0
97,82,2,57,97.0
79,112,1,78,79.0
77,97,2,66,77.0
73,36,1,25,73.0
81,6,0,4,81.0
81,10,0,6,81.0
108,102,2,69,108.0
105,114,3,82,81.0
82,97,1,65,82.0
107,48,0,32,107.0
89,19,1,13,69.0
94,86,1,56,94.0
90,121,2,83,90.0
86,106,2,77,102.0
101,32,0,22,123.0
86,48,0,33,78.0
99,110,1,77,99.0
98,105,0,68,88.0
106,23,0,16,106.0
101,110,2,78,114.0
81,115,2,81,83.0
84,65,1,42,94.0
98,49,0,33,137.0
86,5,0,3,91.0
83,114,1,74,83.0
89,110,1,77,80.0
97,41,0,27,97.0
79,7,1,5,79.0
112,115,2,80,112.0
104,74,1,50,110.0
117,68,2,49,129.0
94,100,1,71,94.0
106,108,1,77,106.0
90,5,0,3,88.0
100,34,0,23,91.0
88,113,1,77,88.0
96,112,1,76,109.0
127,114,2,83,127.0
129,62,0,41,81.0
84,127,2,91,84.0
132,111,1,76,132.0
92,20,1,15,92.0
115,118,2,82,115.0
100,120,2,82,100.0
79,97,2,67,77.0
110,110,2,75,125.0
127,121,1,83,127.0
94,60,0,40,94.0
102,93,1,62,87.0
114,112,1,79,114.0
78,100,0,63,94.0
98,106,1,71,83.0
